Player,Squad,Age,Born,SCA90,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Nathan Aké,Manchester City,29,1995,1.06,0.0,0.9966652656139828,0.494606050895107,222315600.0,15.674944462517,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,1.0666666666666669,0.0,0.0,0.0,0.0,0.0288783214150626,0.5070849426999461,221574236.52413192,841,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Alcaraz,Everton,21,2002,3.89,0.71,0.9966652656139828,0.494606050895107,75379200.0,13.854731271117556,2.823529411764706,0.2352941176470588,0.3529411764705882,0.3529411764705882,0.1176470588235294,0.0,3.882352941176471,0.7058823529411765,0.1818181818181818,0.1176470588235294,0.3529411764705882,0.0137969094922737,0.5070849426999461,75127830.38976952,441,0,14.823529411764708,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Trent Alexander-Arnold,Liverpool,25,1998,3.73,0.38,0.9966652656139828,0.494606050895107,172400800.0,15.644176045422585,2.8136882129277567,0.5703422053231939,0.1901140684410646,0.1520912547528517,0.0,0.0,3.726235741444867,0.3802281368821292,0.1020408163265306,0.0,0.1901140684410646,0.0361110447698924,0.5070849426999461,171825889.1240631,625,1,9.505703422053232,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alisson,Liverpool,31,1992,0.25,0.04,0.9966652656139828,0.494606050895107,172400800.0,15.212060552388788,0.2508960573476703,0.0,0.0,0.0,0.0,0.0,0.2508960573476703,0.03584229390681,0.1428571428571428,0.0,0.03584229390681,0.0234409214470374,0.5070849426999461,171825889.1240631,961,0,1.1111111111111112,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Miguel Almirón,Newcastle Utd,30,1994,4.59,0.0,0.9966652656139828,0.494606050895107,116584000.0,15.38737576630631,3.5294117647058822,0.0,0.5882352941176471,0.5882352941176471,0.0,0.0,4.705882352941177,0.0,0.0,0.0,-0.5882352941176471,0.041306027932255,0.5070849426999461,116195223.32634056,900,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Edson Álvarez,West Ham,26,1997,1.42,0.1,0.9966652656139828,0.494606050895107,86143200.0,14.926994571142265,1.218274111675127,0.0,0.1015228426395939,0.0507614213197969,0.0507614213197969,0.0,1.4213197969543148,0.1015228426395939,0.0714285714285714,0.0507614213197969,0.0,0.035276896669842,0.5070849426999461,85855935.30883844,676,1,2.639593908629441,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Harry Amass,Manchester Utd,17,2007,2.08,0.0,0.9966652656139828,0.494606050895107,159341000.0,14.488083235863394,1.842105263157895,0.0,0.0,0.2631578947368421,0.0,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0122960908779126,0.5070849426999461,158809640.08819762,289,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mathis Amougou,Chelsea,18,2006,0.0,0.0,0.9966652656139828,0.494606050895107,164788000.0,13.901688254205329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066145593125713,0.5070849426999461,164238475.78999698,324,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Joachim Andersen,Crystal Palace,28,1996,1.0,0.0,0.9966652656139828,0.494606050895107,67828800.0,15.358808667893827,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0689972401103955,0.5070849426999461,67602608.96827771,784,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Joachim Andersen,Fulham,28,1996,1.23,0.07,0.9966652656139828,0.494606050895107,77519000.0,15.358808667893827,0.940766550522648,0.0348432055749128,0.0,0.2439024390243902,0.0,0.0,1.2195121951219512,0.0696864111498257,0.0571428571428571,0.0,0.0696864111498257,0.0603722958242495,0.5070849426999461,77260494.72513032,784,1,1.951219512195122,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Elliot Anderson,Nott'ham Forest,21,2002,2.87,0.33,0.9966652656139828,0.494606050895107,93457000.0,14.5478784516775,1.4191419141914192,0.6600660066006601,0.231023102310231,0.264026402640264,0.132013201320132,0.165016501650165,2.871287128712871,0.33003300330033,0.1149425287356321,0.7999999999999999,0.099009900990099,0.0222562247878703,0.5070849426999461,93145345.728486,441,0,6.930693069306931,0.0,0.0,1.0,0.0,0.0,1.0,0.0
André,Wolves,23,2001,1.78,0.11,0.9966652656139828,0.494606050895107,72358000.0,14.953343559785663,1.490909090909091,0.109090909090909,0.0363636363636363,0.0,0.0,0.1454545454545454,1.7818181818181815,0.109090909090909,0.0612244897959183,0.0,0.0727272727272727,0.0431189363995688,0.5070849426999461,72116705.28929657,529,0,2.509090909090909,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Michail Antonio,West Ham,34,1990,2.37,0.43,0.9966652656139828,0.494606050895107,86143200.0,15.183440383660656,1.5053763440860215,0.0,0.1075268817204301,0.5376344086021505,0.1075268817204301,0.1075268817204301,2.365591397849462,0.4301075268817204,0.1818181818181818,1.0,0.3225806451612902,0.0455893472784967,0.5070849426999461,85855935.30883844,1156,0,14.623655913978492,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Antony,Manchester Utd,24,2000,5.11,0.0,0.9966652656139828,0.494606050895107,159341000.0,15.0444132574043,3.75,0.0,0.625,0.0,0.625,0.0,5.0,0.0,0.0,0.625,-0.625,0.0214475714232239,0.5070849426999461,158809640.08819762,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Julian Araujo,Bournemouth,22,2001,0.91,0.0,0.9966652656139828,0.494606050895107,62764000.0,14.077874822431763,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.0,0.0,0.0,0.0207125103562551,0.5070849426999461,62554698.73099601,484,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alphonse Areola,West Ham,31,1993,0.12,0.0,0.9966652656139828,0.494606050895107,86143200.0,14.79932191544645,0.0796812749003984,0.0398406374501992,0.0,0.0,0.0,0.0,0.1195219123505976,0.0,0.0,0.0,0.0,0.0310486586789511,0.5070849426999461,85855935.30883844,961,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Harrison Armstrong,Everton,17,2007,1.87,0.0,0.9966652656139828,0.494606050895107,75379200.0,13.886452277152884,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0142415767016189,0.5070849426999461,75127830.38976952,289,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kepa Arrizabalaga,Bournemouth,29,1994,0.13,0.0,0.9966652656139828,0.494606050895107,62764000.0,14.953343559785663,0.064516129032258,0.064516129032258,0.0,0.0,0.0,0.0,0.1290322580645161,0.0,0.0,0.0,0.0,0.0497100248550124,0.5070849426999461,62554698.73099601,841,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Marco Asensio,Aston Villa,28,1996,4.24,0.36,0.9966652656139828,0.494606050895107,125897200.0,15.416070545621787,2.650602409638554,0.8433734939759036,0.1204819277108433,0.1204819277108433,0.36144578313253,0.1204819277108433,4.216867469879518,0.36144578313253,0.0857142857142857,3.0,0.2409638554216867,0.0393639162599825,0.5070849426999461,125477366.27805673,784,1,10.12048192771084,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Brandon Austin,Tottenham,25,1999,0.0,0.0,0.9966652656139828,0.494606050895107,132912000.0,13.567049198665774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058685446009389,0.5070849426999461,132468773.78328568,625,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Taiwo Awoniyi,Nott'ham Forest,26,1997,1.95,0.22,0.9966652656139828,0.494606050895107,93457000.0,14.77102200299171,1.0869565217391306,0.0,0.2173913043478261,0.4347826086956522,0.2173913043478261,0.0,1.956521739130435,0.2173913043478261,0.1111111111111111,0.2173913043478261,0.0,0.0278202809848379,0.5070849426999461,93145345.728486,676,1,5.652173913043479,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Yasin Ayari,Brighton,20,2003,2.79,0.27,0.9966652656139828,0.494606050895107,60645000.0,12.9384405392434,1.6513761467889907,0.5963302752293578,0.1376146788990825,0.1376146788990825,0.18348623853211,0.091743119266055,2.7981651376146788,0.2752293577981651,0.0983606557377049,2.0,0.1376146788990825,0.0068595927116827,0.5070849426999461,60442765.03315998,400,0,5.504587155963304,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Jordan Ayew,Crystal Palace,32,1991,4.29,0.0,0.9966652656139828,0.494606050895107,67828800.0,14.78255964059466,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.038776619628175,0.5070849426999461,67602608.96827771,1024,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Benoît Badiashile,Chelsea,23,2001,0.0,0.0,0.9966652656139828,0.494606050895107,164788000.0,15.358808667893827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284001262227831,0.5070849426999461,164238475.78999698,529,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Leon Bailey,Aston Villa,26,1997,3.01,0.32,0.9966652656139828,0.494606050895107,125897200.0,15.684231068328458,1.811023622047244,0.0787401574803149,0.6299212598425197,0.2362204724409449,0.2362204724409449,0.0,2.9921259842519685,0.3149606299212598,0.1052631578947368,0.2362204724409449,-0.3149606299212598,0.0514705648735635,0.5070849426999461,125477366.27805673,676,1,8.188976377952756,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Baleba,Brighton,20,2004,2.23,0.14,0.9966652656139828,0.494606050895107,60645000.0,13.38472764187182,1.858108108108108,0.0,0.0675675675675675,0.1689189189189189,0.0337837837837837,0.1013513513513513,2.22972972972973,0.1351351351351351,0.0606060606060605,0.3333333333333333,0.0675675675675675,0.0107181136120042,0.5070849426999461,60442765.03315998,400,0,2.702702702702702,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ross Barkley,Aston Villa,30,1993,2.78,0.46,0.9966652656139828,0.494606050895107,125897200.0,14.953343559785663,2.3076923076923075,0.1538461538461538,0.3076923076923077,0.0,0.0,0.0,2.769230769230769,0.4615384615384615,0.1666666666666666,0.0,0.1538461538461538,0.024782123828012,0.5070849426999461,125477366.27805673,900,1,13.846153846153848,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Harvey Barnes,Newcastle Utd,26,1997,3.27,0.46,0.9966652656139828,0.494606050895107,116584000.0,15.241025632237449,2.2564102564102564,0.0512820512820512,0.358974358974359,0.3076923076923077,0.3076923076923077,0.0,3.282051282051282,0.4615384615384615,0.140625,0.3076923076923077,0.1025641025641025,0.0356824264049955,0.5070849426999461,116195223.32634056,676,1,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Calvin Bassey,Fulham,24,1999,0.67,0.09,0.9966652656139828,0.494606050895107,77519000.0,14.665661487333884,0.5555555555555555,0.0292397660818713,0.0584795321637426,0.0,0.0,0.0292397660818713,0.6725146198830408,0.087719298245614,0.1304347826086956,0.0,0.0292397660818713,0.0301861479121247,0.5070849426999461,77260494.72513032,576,0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Altay Bayındır,Manchester Utd,26,1998,0.0,0.0,0.9966652656139828,0.494606050895107,159341000.0,14.41434705905298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114220445459737,0.5070849426999461,158809640.08819762,676,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jean-Ricner Bellegarde,Wolves,26,1998,3.06,0.59,0.9966652656139828,0.494606050895107,72358000.0,15.176487111099874,1.8817204301075268,0.2688172043010752,0.2150537634408602,0.2150537634408602,0.3763440860215054,0.1075268817204301,3.064516129032258,0.5913978494623655,0.1929824561403508,3.5000000000000004,0.3763440860215053,0.0538986704994609,0.5070849426999461,72116705.28929657,676,1,15.376344086021504,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rodrigo Bentancur,Tottenham,27,1997,2.46,0.16,0.9966652656139828,0.494606050895107,132912000.0,15.176487111099874,1.9672131147540983,0.0,0.0546448087431694,0.2732240437158469,0.0546448087431694,0.1092896174863388,2.459016393442623,0.1639344262295081,0.0666666666666666,0.5,0.1092896174863387,0.0293427230046948,0.5070849426999461,132468773.78328568,729,1,4.426229508196721,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Daniel Bentley,Wolves,31,1993,0.0,0.0,0.9966652656139828,0.494606050895107,72358000.0,13.854731271117556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143729787998562,0.5070849426999461,72116705.28929657,961,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Sander Berge,Fulham,26,1998,1.94,0.08,0.9966652656139828,0.494606050895107,77519000.0,14.866332182796036,1.7408906882591093,0.0404858299595141,0.0404858299595141,0.0404858299595141,0.0,0.0809716599190283,1.9433198380566803,0.0809716599190283,0.0416666666666666,0.0,0.0404858299595141,0.0368941807814858,0.5070849426999461,77260494.72513032,676,1,2.1052631578947367,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Lucas Bergvall,Tottenham,18,2006,1.63,0.3,0.9966652656139828,0.494606050895107,132912000.0,14.953343559785663,1.1851851851851851,0.2962962962962963,0.0,0.1481481481481481,0.0,0.0,1.6296296296296295,0.2962962962962963,0.1818181818181818,0.0,0.2962962962962963,0.0234741784037558,0.5070849426999461,132468773.78328568,324,0,5.333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beto,Everton,26,1998,1.52,0.06,0.9966652656139828,0.494606050895107,75379200.0,14.953343559785663,0.9411764705882352,0.0,0.1764705882352941,0.1764705882352941,0.2352941176470588,0.0,1.5294117647058822,0.0588235294117647,0.0384615384615384,0.2352941176470588,-0.1176470588235294,0.0413907284768211,0.5070849426999461,75127830.38976952,676,1,1.5294117647058822,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Philip Billing,Bournemouth,28,1996,7.83,0.0,0.9966652656139828,0.494606050895107,62764000.0,14.45075172167338,6.5,0.0,0.0,0.5,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0300726097380104,0.5070849426999461,62554698.73099601,784,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yves Bissouma,Tottenham,27,1996,1.02,0.0,0.9966652656139828,0.494606050895107,132912000.0,14.866332182796036,0.9615384615384616,0.0,0.0,0.0,0.0,0.0641025641025641,1.0256410256410258,0.0,0.0,0.0,0.0,0.0215179968701095,0.5070849426999461,132468773.78328568,729,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Oscar Bobb,Manchester City,21,2003,11.25,0.0,0.9966652656139828,0.494606050895107,222315600.0,14.187326919354302,5.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-5.0,0.0065239084145572,0.5070849426999461,221574236.52413192,441,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Lamare Bogarde,Aston Villa,20,2004,1.89,0.19,0.9966652656139828,0.494606050895107,125897200.0,14.26019637922572,1.509433962264151,0.1886792452830188,0.0,0.0,0.0,0.1886792452830188,1.8867924528301887,0.1886792452830188,0.1,0.0,0.1886792452830188,0.012391061914006,0.5070849426999461,125477366.27805673,400,0,3.7735849056603774,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Willy Boly,Nott'ham Forest,33,1991,0.0,0.0,0.9966652656139828,0.494606050895107,93457000.0,14.5478784516775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222562247878703,0.5070849426999461,93145345.728486,1089,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sven Botman,Newcastle Utd,24,2000,0.87,0.0,0.9966652656139828,0.494606050895107,116584000.0,14.715079222431193,0.2173913043478261,0.0,0.0,0.6521739130434783,0.0,0.0,0.8695652173913044,0.0,0.0,0.0,0.0,0.0210881632617677,0.5070849426999461,116195223.32634056,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jarrod Bowen,West Ham,27,1996,3.42,0.45,0.9966652656139828,0.494606050895107,86143200.0,15.036075934848132,2.121212121212121,0.3939393939393939,0.1818181818181818,0.3939393939393939,0.2727272727272727,0.0606060606060606,3.4242424242424243,0.4545454545454545,0.1327433628318584,4.499999999999999,0.2727272727272727,0.0393426679381339,0.5070849426999461,85855935.30883844,729,1,12.272727272727272,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Conor Bradley,Liverpool,21,2003,2.27,0.48,0.9966652656139828,0.494606050895107,172400800.0,14.913464851647143,1.5476190476190474,0.0,0.5952380952380952,0.0,0.119047619047619,0.0,2.261904761904762,0.4761904761904761,0.2105263157894736,0.119047619047619,-0.119047619047619,0.0173898651533981,0.5070849426999461,171825889.1240631,441,0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jarrad Branthwaite,Everton,22,2002,0.47,0.07,0.9966652656139828,0.494606050895107,75379200.0,15.64649074034561,0.3942652329749104,0.03584229390681,0.0,0.0,0.03584229390681,0.0,0.4659498207885305,0.07168458781362,0.1538461538461538,0.03584229390681,0.07168458781362,0.0827814569536423,0.5070849426999461,75127830.38976952,484,0,1.5770609318996418,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Armando Broja,Everton,22,2001,1.89,0.0,0.9966652656139828,0.494606050895107,75379200.0,14.665661487333884,1.891891891891892,0.0,0.0,0.0,0.0,0.0,1.891891891891892,0.0,0.0,0.0,0.0,0.0310430463576158,0.5070849426999461,75127830.38976952,484,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
David Brooks,Bournemouth,27,1997,4.31,0.19,0.9966652656139828,0.494606050895107,62764000.0,14.998492426388518,3.364485981308412,0.5607476635514019,0.1869158878504673,0.1869158878504673,0.0,0.0,4.299065420560748,0.1869158878504673,0.0434782608695652,0.0,0.0,0.0520058122674699,0.5070849426999461,62554698.73099601,729,1,5.046728971962617,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Emi Buendía,Aston Villa,27,1996,2.76,0.0,0.9966652656139828,0.494606050895107,125897200.0,14.800568025396576,1.818181818181818,0.0,0.0,0.9090909090909092,0.0,0.0,2.727272727272727,0.0,0.0,0.0,0.0,0.0212710511100808,0.5070849426999461,125477366.27805673,729,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Santiago Bueno,Wolves,25,1998,0.64,0.21,0.9966652656139828,0.494606050895107,72358000.0,14.5478784516775,0.5347593582887701,0.053475935828877,0.0,0.0,0.0,0.053475935828877,0.6417112299465241,0.213903743315508,0.3333333333333333,0.0,0.213903743315508,0.0287459575997125,0.5070849426999461,72116705.28929657,625,1,5.347593582887701,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dan Burn,Newcastle Utd,32,1992,0.73,0.11,0.9966652656139828,0.494606050895107,116584000.0,15.107494239612924,0.5675675675675675,0.027027027027027,0.0,0.1081081081081081,0.027027027027027,0.0,0.7297297297297297,0.1081081081081081,0.1481481481481481,0.027027027027027,0.1081081081081081,0.0312221231043711,0.5070849426999461,116195223.32634056,1024,0,3.45945945945946,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nathan Butler-Oyedeji,Arsenal,21,2003,0.0,0.0,0.9966652656139828,0.494606050895107,184652000.0,13.398935724844666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035705065387094,0.5070849426999461,184036234.6261532,441,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Moisés Caicedo,Chelsea,22,2001,2.63,0.24,0.9966652656139828,0.494606050895107,164788000.0,15.150029566728024,2.311827956989247,0.0,0.053763440860215,0.0,0.0806451612903225,0.1881720430107527,2.634408602150537,0.2419354838709677,0.0918367346938775,0.4285714285714285,0.1881720430107527,0.0230488180035572,0.5070849426999461,164238475.78999698,484,0,5.32258064516129,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tom Cairney,Fulham,33,1991,4.71,0.43,0.9966652656139828,0.494606050895107,77519000.0,14.994657643303537,4.0,0.2857142857142857,0.0,0.2857142857142857,0.1428571428571428,0.0,4.714285714285714,0.4285714285714285,0.0909090909090909,0.1428571428571428,0.4285714285714285,0.0419458414427833,0.5070849426999461,77260494.72513032,1089,0,14.142857142857142,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Riccardo Calafiori,Arsenal,22,2002,1.19,0.18,0.9966652656139828,0.494606050895107,184652000.0,15.562038501969427,1.0091743119266054,0.0,0.091743119266055,0.091743119266055,0.0,0.0,1.1926605504587156,0.18348623853211,0.1538461538461538,0.0,0.091743119266055,0.0310565659702681,0.5070849426999461,184036234.6261532,484,0,4.036697247706422,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dominic Calvert-Lewin,Everton,27,1997,1.46,0.22,0.9966652656139828,0.494606050895107,75379200.0,15.464169183551656,0.782122905027933,0.0,0.223463687150838,0.1675977653631285,0.1675977653631285,0.111731843575419,1.452513966480447,0.223463687150838,0.1538461538461538,1.5,0.0,0.0689845474613686,0.5070849426999461,75127830.38976952,729,1,6.033519553072626,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Diego Carlos,Aston Villa,31,1993,0.43,0.0,0.9966652656139828,0.494606050895107,125897200.0,15.123843377614453,0.3260869565217391,0.0,0.0,0.108695652173913,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0293890571037322,0.5070849426999461,125477366.27805673,961,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fabio Carvalho,Brentford,21,2002,1.97,0.2,0.9966652656139828,0.494606050895107,54301000.0,14.5478784516775,1.3725490196078431,0.0,0.196078431372549,0.3921568627450981,0.0,0.0,1.9607843137254903,0.196078431372549,0.1,0.0,0.0,0.0383050035910941,0.5070849426999461,54119920.58810488,441,0,4.11764705882353,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Casemiro,Manchester Utd,32,1992,3.19,0.24,0.9966652656139828,0.494606050895107,159341000.0,15.503414075944244,2.9518072289156625,0.0602409638554216,0.0,0.180722891566265,0.0,0.0,3.192771084337349,0.2409638554216867,0.0754716981132075,0.0,0.2409638554216867,0.03394061015625,0.5070849426999461,158809640.08819762,1024,0,7.710843373493975,0.0,0.0,1.0,0.0,0.0,1.0,0.0
